Date,Duration,Label
1541989566,2,2018-11-12 04:26:08 +0200
1542069556,2,2018-11-13 02:39:18 +0200
1542107476,1,2018-11-13 13:11:17 +0200
1542188189,1,2018-11-14 11:36:30 +0200
1542194217,2,2018-11-14 13:16:59 +0200
1542197996,2,2018-11-14 14:19:58 +0200
1542216966,1,2018-11-14 19:36:07 +0200
1542262612,2,2018-11-15 08:16:54 +0200
1542314159,2,2018-11-15 22:36:01 +0200
1542319569,2,2018-11-16 00:06:11 +0200
1542382445,2,2018-11-16 17:34:07 +0200
1542420941,1,2018-11-17 04:15:42 +0200
1542452717,2,2018-11-17 13:05:19 +0200
1542572394,2,2018-11-18 22:19:56 +0200
1542589101,2,2018-11-19 02:58:23 +0200
1542607090,2,2018-11-19 07:58:12 +0200
1542623242,1,2018-11-19 12:27:23 +0200
1542631402,2,2018-11-19 14:43:24 +0200
1542643332,2,2018-11-19 18:02:14 +0200
1542647862,2,2018-11-19 19:17:44 +0200
1542691363,2,2018-11-20 07:22:45 +0200
1542737399,2,2018-11-20 20:10:01 +0200
1542751496,1,2018-11-21 00:04:57 +0200
1542764407,2,2018-11-21 03:40:09 +0200
1542780507,2,2018-11-21 08:08:29 +0200
1542864947,2,2018-11-22 07:35:49 +0200
1542870104,2,2018-11-22 09:01:46 +0200
1542870689,2,2018-11-22 09:11:31 +0200
1542895151,1,2018-11-22 15:59:12 +0200
1542931584,2,2018-11-23 02:06:26 +0200
1543024620,1,2018-11-24 03:57:01 +0200
1545888996,953,2018-12-27 07:52:29 +0200
1545894284,2,2018-12-27 09:04:46 +0200
1545928823,1,2018-12-27 18:40:24 +0200
1545943245,2,2018-12-27 22:40:47 +0200
1545947096,2,2018-12-27 23:44:58 +0200
1545947692,2,2018-12-27 23:54:54 +0200
1545957530,2,2018-12-28 02:38:52 +0200
1545964901,1,2018-12-28 04:41:42 +0200
1545967312,2,2018-12-28 05:21:54 +0200
1545989322,2,2018-12-28 11:28:44 +0200
1545993271,2,2018-12-28 12:34:33 +0200
1545997374,1,2018-12-28 13:42:55 +0200
1546017564,2,2018-12-28 19:19:26 +0200
1546048082,2,2018-12-29 03:48:04 +0200
1546052911,2,2018-12-29 05:08:33 +0200
1546062708,2,2018-12-29 07:51:50 +0200
1546066340,1,2018-12-29 08:52:21 +0200
1546082806,2,2018-12-29 13:26:48 +0200
1546087082,2,2018-12-29 14:38:04 +0200
1546128959,2,2018-12-30 02:16:01 +0200
1546131471,1,2018-12-30 02:57:52 +0200
1546162949,1,2018-12-30 11:42:30 +0200
1546175878,1,2018-12-30 15:17:59 +0200
1546190219,1,2018-12-30 19:17:00 +0200
1546192099,2,2018-12-30 19:48:21 +0200
1546199651,2,2018-12-30 21:54:13 +0200
1546212894,1,2018-12-31 01:34:55 +0200
1546248479,2,2018-12-31 11:28:01 +0200
1546281639,1,2018-12-31 20:40:40 +0200
1546284737,1,2018-12-31 21:32:18 +0200
1546320051,2,2019-01-01 07:20:53 +0200
1546329795,2,2019-01-01 10:03:17 +0200
1546342961,1,2019-01-01 13:42:42 +0200
1546357539,1,2019-01-01 17:45:40 +0200
1546370466,1,2019-01-01 21:21:07 +0200
1546385313,1,2019-01-02 01:28:34 +0200
1546387249,0,2019-01-02 02:00:49 +0200
1546618979,2,2019-01-04 18:23:01 +0200
1546621527,2,2019-01-04 19:05:29 +0200
1546623375,1,2019-01-04 19:36:16 +0200
1546631206,2,2019-01-04 21:46:48 +0200
1546859492,0,2019-01-07 13:11:32 +0200
1546916991,2,2019-01-08 05:09:53 +0200
1546926583,2,2019-01-08 07:49:45 +0200
1546960008,1,2019-01-08 17:06:49 +0200
1547095987,1,2019-01-10 06:53:08 +0200
1547247124,2,2019-01-12 00:52:06 +0200
1547261547,1,2019-01-12 04:52:28 +0200
1547291612,0,2019-01-12 13:13:32 +0200
1547305035,1,2019-01-12 16:57:16 +0200
1547706135,2,2019-01-17 08:22:17 +0200
1547709892,2,2019-01-17 09:24:54 +0200
1547717842,2,2019-01-17 11:37:24 +0200
1547720674,2,2019-01-17 12:24:36 +0200
1547804696,1,2019-01-18 11:44:57 +0200
1548720121,2,2019-01-29 02:02:03 +0200
